ID,日付,売上実績,取置計,顧客計,客数計
48,2008-08-05,302700,83000,0,16
48,2008-08-06,165000,0,0,6
49,2008-08-01,606900,156000,3,20
49,2008-08-02,856000,0,0,30
49,2008-08-03,787000,0,2,24
49,2008-08-04,310600,106000,0,10
49,2008-08-05,894200,0,1,21
49,2008-08-06,613900,107000,1,18
44,2008-08-01,722000,0,0,24
44,2008-08-02,936200,134000,0,34
44,2008-08-03,492000,54000,2,17
44,2008-08-04,227000,0,1,6
44,2008-08-05,746500,0,1,19
44,2008-08-06,318200,0,1,12
50,2008-08-01,417400,14800,0,11
50,2008-08-02,379200,66000,1,16
50,2008-08-03,200300,0,0,10
50,2008-08-04,252300,71100,0,11
50,2008-08-05,203500,0,1,9
50,2008-08-06,283000,0,1,13
51,2008-08-01,241700,0,2,11
51,2008-08-02,274500,0,1,12
51,2008-08-03,137800,100000,0,7
51,2008-08-04,153200,0,0,5
51,2008-08-05,172500,0,0,5
51,2008-08-06,94000,0,0,4
36,2008-08-01,311500,0,1,14
36,2008-08-02,192100,0,0,10
36,2008-08-03,309800,625000,0,18
36,2008-08-04,231800,34000,0,8
36,2008-08-05,0,0,0,0
36,2008-08-06,131200,0,0,11
41,2008-08-01,340700,0,0,9
41,2008-08-02,244500,0,0,9
41,2008-08-03,374300,0,1,10
41,2008-08-04,165900,0,0,6
41,2008-08-05,152000,0,0,7
41,2008-08-06,121800,0,0,6
39,2008-08-01,277550,0,1,5
39,2008-08-02,154100,0,2,8
39,2008-08-03,126000,205000,3,4
39,2008-08-04,99200,0,0,3
39,2008-08-05,163950,0,0,7
39,2008-08-06,148400,0,0,4
70,2008-08-01,104800,0,0,13
70,2008-08-02,124200,0,1,13
70,2008-08-03,82800,0,1,10
70,2008-08-04,66000,0,2,9
70,2008-08-05,30900,25000,1,8
70,2008-08-06,134900,0,2,14
40,2008-08-01,68000,0,0,0
40,2008-08-02,108000,0,0,0
40,2008-08-03,24000,0,0,0
40,2008-08-04,43600,0,0,1
40,2008-08-05,0,0,0,0
40,2008-08-06,5000,0,0,0
42,2008-08-01,116600,0,4,6
42,2008-08-02,165300,0,4,10
42,2008-08-03,30000,0,3,5
42,2008-08-04,117600,0,0,4
42,2008-08-05,64200,0,0,3
42,2008-08-06,220000,0,2,5
74,2008-08-01,4000,0,0,3
74,2008-08-02,2500,0,0,1
74,2008-08-03,30500,0,0,3
74,2008-08-04,4500,0,0,1
74,2008-08-05,27050,0,0,4
74,2008-08-06,0,0,0,0
71,2008-08-01,50900,0,0,7
71,2008-08-02,101700,0,0,13
71,2008-08-03,108200,0,0,15
71,2008-08-04,128000,0,1,15,,
71,2008-08-05,51920,45000,0,8,,
71,2008-08-06,130000,5100,0,16,,
38,2008-08-01,#REF!,0,0,0,,
38,2008-08-02,#REF!,0,0,0,,
38,2008-08-03,#REF!,0,0,0,,
38,2008-08-04,#REF!,0,0,0,,
38,2008-08-05,#REF!,0,0,0,,
38,2008-08-06,131000,0,0,0,,
46,2008-08-01,226900,0,2,7,,
46,2008-08-02,280000,0,1,12,,
46,2008-08-03,108600,125000,0,4,,
46,2008-08-04,230500,162000,1,6,,
46,2008-08-05,89500,35000,1,4,,
46,2008-08-06,160200,27000,1,5,,
58,2008-08-01,49000,0,0,2,,
58,2008-08-02,231400,0,1,10
58,2008-08-03,328200,0,1,4
58,2008-08-04,52500,0,0,2
58,2008-08-05,53500,0,0,2
58,2008-08-06,92300,0,0,2
75,2008-08-01,251100,66800,0,14
75,2008-08-02,147100,17600,0,13
75,2008-08-03,212000,61300,1,14
75,2008-08-04,162060,49000,2,13
75,2008-08-05,210460,0,0,18
75,2008-08-06,264540,0,1,15
76,2008-08-01,632100,26000,4,17
76,2008-08-02,585700,189400,4,19
76,2008-08-03,911700,0,4,22
76,2008-08-04,829800,125000,3,15
76,2008-08-05,202300,34000,2,10
76,2008-08-06,619200,0,7,15
72,2008-08-01,45500,0,1,2
72,2008-08-02,60500,0,0,2
72,2008-08-03,23000,0,0,1
72,2008-08-04,71700,0,0,3
72,2008-08-05,64400,23000,0,3
72,2008-08-06,36000,0,0,2
78,2008-08-01,1810.8,0,0,7
78,2008-08-02,1074.6,0,0,7
78,2008-08-03,997.2,0,0,5
78,2008-08-04,2628.5,0,0,9
78,2008-08-05,5395.8,0,0,11
78,2008-08-06,2007.7,0,0,5
79,2008-08-01,2699,0,0,9
79,2008-08-02,3870,0,0,9
79,2008-08-03,1110,0,0,5
79,2008-08-04,2018,0,0,7
79,2008-08-05,356,0,0,1
79,2008-08-06,0,0,0,0
80,2008-08-01,566.9,0,0,7
80,2008-08-02,1581.09,0,0,5
80,2008-08-03,0,0,0,0
80,2008-08-04,520.57,0,0,4
80,2008-08-05,0,0,0,0
80,2008-08-06,0,0,0,0
77,2008-08-01,216900,4200,0,13
77,2008-08-02,186440,14000,1,15
77,2008-08-03,219850,0,1,18
77,2008-08-04,175100,0,3,18
77,2008-08-05,252400,12000,0,16
77,2008-08-06,180190,0,0,21
